City,Precipitation Type,Total Amount (mm)
London,Rain,769.5
London,Other Precipitation,11.2
Bangalore,Rain,795.5
Bangalore,Other Precipitation,0.0
Bogota,Rain,1038.7
Bogota,Other Precipitation,0.0
Riyadh,Rain,142.9
Riyadh,Other Precipitation,0.0
Amsterdam,Rain,1199.2
Amsterdam,Other Precipitation,42.599999999999994
